chargelarge_id,name,address,latitude,longitude,power_range,charge_point_count,port_count,dc_port_count,connector_types,min_power_kw,max_power_kw,status_counts,fast_dc_indicator
15d06bf5-6b4a-425d-9312-bae4b17cc22b-852,Podium Oran Park - Oran Park,"351  Dr, Oran Park, NSW 2570",-34.0004614,150.7405915,6.9 - 7,15,15,0,TYPE2,6.9,7.0,"{""Available"": 13, ""Charging"": 1, ""OutOfService"": 1}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-1364,[TBC] [SO-36165] Arc Renewable Group - IGS Alexandria,"14 Millennium Ct, Silverwater, NSW 2128",-33.8325123,151.040631,7,6,6,0,TYPE2,7.0,7.0,"{""Missing"": 6}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-1377,[TBC] [SO-36674] Energy Trade - Jordan Springs,"76 Lakeside Parade, Jordan Springs, NSW 2747",-33.7286103,150.7267153,22,2,2,0,TYPE2,22.0,22.0,"{""Missing"": 2}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-550,Astina Serviced Apartments,"21 Woodriff St, Penrith, NSW 2750",-33.7543861,150.6966537,22,1,1,0,TYPE2,22.0,22.0,"{""Missing"": 1}",False
baaffa39-0adb-422e-a7bf-4b391d232b5d-133,59 Holmwood St Newtown NSW 2042,"59 Holmwood St, Newtown NSW 2042, Australia, Newtown, NSW 2042",-33.904523,151.17785,22,1,1,0,TYPE2,22.0,22.0,"{""Charging"": 1}",False
baaffa39-0adb-422e-a7bf-4b391d232b5d-467,"47 Morgan St, Merewether NSW 2291","47 Morgan St, Merewether NSW 2291, Australia, Merewether, NSW 2291",-32.940066,151.75159,22,1,1,0,TYPE2,22.0,22.0,"{""Unknown"": 1}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-905,Wollongong Council - Administration Building,"41 Burelli St, Wollongong, NSW 2500",-34.4274805,150.8986483,7 - 22,2,3,0,TYPE2,7.0,22.0,"{""Missing"": 3}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-1404,[TBC] [SO000017] CS Energy - CSE20526,"14 Millennium Ct, Silverwater, NSW 2128",-33.8325123,151.040631,7,2,2,0,TYPE2,7.0,7.0,"{""Missing"": 2}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-192,8 Gaza Rd-West Ryde,"8 Gaza Road, West Ryde NSW 2114, West Ryde, NSW 2114",-33.808818,151.08777,22,2,2,0,TYPE2,22.0,22.0,"{""Charging"": 2}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-205,60 Water Rd-Belfield,"60 Water Rd, Belfield, NSW, Australia, 2191, Belfield, NSW 2191",-33.899803,151.083043,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-120,192A Darby St-Cooks Hill,"Darby Street 192, Cooks Hill, NSW 2300",-32.933168,151.770049,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
baaffa39-0adb-422e-a7bf-4b391d232b5d-473,"Opposite 105 Laman St, Cooks Hill NSW 2300","105 Laman St, Cooks Hill NSW 2300, Australia, Cooks Hill, NSW 2300",-32.929417,151.76709,22,1,1,0,TYPE2,22.0,22.0,"{""Unknown"": 1}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-1432,[TBC] [SO000147] Actew AGL Retail,"14 Millennium Ct, Silverwater, NSW 2128",-33.8325123,151.040631,22,2,4,0,TYPE2,22.0,22.0,"{""Missing"": 4}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-242,49 Buckland St-Alexandria,"49 Buckland St, Alexandria, NSW, 2015, City of Sydney, NSW 2015",-33.899251,151.197759,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
32c163d9-84aa-4c71-b092-9aab18f2e771-TACW2245321G9530,AC Terra Test,"43 Newton Road, Wetherill Park, NSW 2164",-33.84895584,150.88365114,22,1,1,0,TYPE2,22.0,22.0,"{""Missing"": 1}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-164,1A Merchant St-Stanmore,"1A Merchant St, Stanmore NSW 2048, Australia, Stanmore, NSW 2048",-33.89615,151.167194,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 1, ""Charging"": 1}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-233,63 Beckwith St-Wagga Wagga,"63 Beckwith St, Wagga Wagga NSW 2650, Austral, Wagga Wagga, NSW 2650",-35.104605,147.360817,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-174,OP 65 Vaucluse Rd-Vaucluse,"65 Vaucluse Rd, Vaucluse NSW 2030, Australia, Vaucluse, NSW 2030",-33.85443,151.268419,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-203,Park St-Gloucester,"Park St, Gloucester, NSW, Australia, 2422, Gloucester, NSW 2422",-32.005157,151.958101,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-1217,Energy Trade - Bottlebrush 95 Grima,"95 Grima St, Schofields, NSW 2762",-33.7034827,150.88328,22,3,3,0,TYPE2,22.0,22.0,"{""Missing"": 3}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-20,54 Gordon Cres-Lane Cove,"54 Gordon Cres, Lane Cove North NSW 2066, Aus, Lane Cove North, NSW 2066",-33.806405,151.161609,22,2,2,0,TYPE2,22.0,22.0,"{""Charging"": 2}",False
d1cbdd86-205d-4538-b287-34032bf74788-0rKRlq0JaOenmBFwXj3NZCf2djI1Vh6hJzOB,Temple St Btw Percival Rd and Percival Ln Stanmore NSW 2048,"Temple St Btw Percival Rd and Percival Ln, Stanmore, NSW 2048",-33.893257,151.16408,22,1,1,0,TYPE2,22.0,22.0,"{""Available"": 1}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-1268,[TBC] [SO-32580] Colussus,"14 Millennium Ct, Silverwater, NSW 2128",-33.8325123,151.040631,22,1,1,0,TYPE2,22.0,22.0,"{""Missing"": 1}",False
baaffa39-0adb-422e-a7bf-4b391d232b5d-53,118 Nelson St Annandale NSW 2038,"118 Nelson St, Annandale NSW 2038, Australia, Annandale, NSW 2038",-33.883422,151.17304,22,1,1,0,TYPE2,22.0,22.0,"{""Available"": 1}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-81,75 Park Rd-Naremburn,"75 Park Rd, Naremburn, NSW 2064, Australia, Naremburn, NSW 2064",-33.815804,151.19429,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 1, ""Charging"": 1}",False
baaffa39-0adb-422e-a7bf-4b391d232b5d-266,Connected Kerb Test,"10 Barbour Rd, Thirlmere NSW 2572, Australia, Thirlmere, NSW 2572",-34.205986,150.569773,22,1,1,0,TYPE2,22.0,22.0,"{""Unknown"": 1}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-77,146 Glenmore Rd-Paddington,"146 Glenmore Rd, Paddington NSW 2021, Austral, Paddington, NSW 2021",-33.882176,151.22553,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-151,3 Wyvern Ave-Chatswood,"3 Wyvern Ave, Roseville NSW 2069, Australia, Roseville, NSW 2069",-33.789356,151.17935,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-157,259 John St-Singleton,"259 John St, Singleton NSW 2330, Australia, Singleton, NSW 2330",-32.559519,151.172935,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-130,83 Cook Rd-Centennial Park,"83 Cook Rd, Centennial Park NSW 2021, Austral, Centennial Park, NSW 2021",-33.893117,151.229567,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-625,North Kellyville - Energy Trade,"40 Applegum Cres, Kellyville, NSW 2155",-33.6876687,150.9414365,7,5,5,0,TYPE2,7.0,7.0,"{""Missing"": 5}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-326,Corrigans Cove Resort,"204 Beach Rd, Batehaven, NSW 2536",-35.729627,150.1961056,7,1,1,0,TYPE2,7.0,7.0,"{""Available"": 1}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-1477,[TBC] [SO000526] CS Energy - CSE743 - Coolum Police Station,"14 Millennium Ct, Silverwater, NSW 2128",-33.8325123,151.040631,7,1,2,0,TYPE2,7.0,7.0,"{""Missing"": 2}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-19,15 Greenwich Rd-Greenwich,"15 Greenwich Rd, Greenwich NSW 2065, Australi, Greenwich, NSW 2065",-33.825558,151.187956,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
36e36d1d-718f-429c-828f-68150b84e574-6bf289fb-7da5-11f0-bfce-002248c7a48c,Holtermann Street Car Park,"8 Holtermann Street, Crows Nest, 2065",-33.82507,151.20168,7.2,30,30,0,TYPE2,7.2,7.2,"{""Available"": 22, ""Unknown"": 8}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-1573,[TBC] [SO000989] CS Energy - CSE582 - Toowoomba DOE,"14 Millennium Ct, Silverwater, NSW 2128",-33.8325123,151.040631,7,12,12,0,TYPE2,7.0,7.0,"{""Missing"": 12}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-1480,[TBC] [SO000545] CS Energy - CSE323 - Youth Justice - Morayfield,"14 Millennium Ct, Silverwater, NSW 2128",-33.8325123,151.040631,7,3,3,0,TYPE2,7.0,7.0,"{""Missing"": 3}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-79,Baker Park Dudley St-Randwick,"Carr Street 1A, Randwick, NSW 2031",-33.923239,151.249319,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
32c163d9-84aa-4c71-b092-9aab18f2e771-SMP_6011002779,Hungerford Hill Estate,"2450 Broke Road, Pokolbin, NSW 2320",-32.777752,151.336014,22,1,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-1419,[TBC] [SO000128] Raytheon Australia,"14 Millennium Ct, Silverwater, NSW 2128",-33.8325123,151.040631,22,2,2,0,TYPE2,22.0,22.0,"{""Missing"": 2}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-749,The Parkside,"159-161 Epping Rd, Macquarie Park, NSW 2113",-33.7784248,151.1096749,22,3,3,0,TYPE2,22.0,22.0,"{""Missing"": 3}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-207,44 Skarratt St N-Silverwater,"44 Skarratt St N, Silverwater, NSW, Australia, Silverwater, NSW 2128",-33.834643,151.037485,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-1547,[TBC] [SO001066] Department for Infrastructure and Transport,"14 Millennium Ct, Silverwater, NSW 2128",-33.8325123,151.040631,22,1,1,0,TYPE2,22.0,22.0,"{""Missing"": 1}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-423,Rydges Resort Hunter Valley - Schwartz Family,"430 Wine Country Dr, Lovedale, NSW 2325",-32.7815753,151.3490953,7 - 22,5,5,0,TYPE2,7.0,22.0,"{""Available"": 5}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-236,5 High St-Millers Point,"5 High St, Millers Point, NSW, 2000, Millers Point, NSW 2000",-33.861106,151.203202,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
15d06bf5-6b4a-425d-9312-bae4b17cc22b-916,AFI Service Pty Ltd - Varnsen Suites,"10 Seymour St, Laurieton, NSW 2443",-31.6504223,152.7958861,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 1, ""Charging"": 1}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-145,14 Exeter Road-Homebush West,"14 Exeter Rd, Homebush West NSW 2140, Austral, Homebush West, NSW 2140",-33.866478,151.068532,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
baaffa39-0adb-422e-a7bf-4b391d232b5d-91,185 Carrington Rd Coogee NSW 2034,"185 Carrington Rd, Coogee NSW 2034, Australia, Coogee, NSW 2034",-33.914943,151.24931,22,1,1,0,TYPE2,22.0,22.0,"{""Available"": 1}",False
ac6d79e9-3d3d-4a6b-a3b2-99a06fe51e25-47,2 Marion st-Leichhardt,"2 Marion St, Leichhardt NSW 2040, Australia, Leichhardt, NSW 2040",-33.88388,151.156508,22,2,2,0,TYPE2,22.0,22.0,"{""Available"": 2}",False
