index,original,cleaned,enriched,street,suburb,state,postcode,station_name,operator,latitude,longitude,original_components,enriched_components,component_gain,original_length,enriched_length,length_gain
941,"Ring Rd, Newcastle, 2308","Ring Road, Newcastle NSW 2308",University Drive Callaghan New South Wales 2308,University Drive,Callaghan,New South Wales,2308.0,,Chargefox,-32.89188493,151.701979,4,7,3,24,47,23
843,"Darling Cswy, Mount Victoria, 2786","Darling Cswy, Mount Victoria NSW 2786",Darling Causeway Mount Victoria New South Wales 2786,Darling Causeway,Mount Victoria,New South Wales,2786.0,,Non-networked,-33.58671976,150.2568799,5,8,3,34,52,18
842,"Dalton St, Parkes, 2870","Dalton Street, Parkes NSW 2870",Dalton Street Parkes New South Wales 2870,Dalton Street,Parkes,New South Wales,2870.0,,NRMA,-33.13720725,148.1726176,4,7,3,23,41,18
943,"Robey St, Sydney, 2035","Robey Street, Sydney NSW 2035",Robey Street Maroubra New South Wales 2035,Robey Street,Maroubra,New South Wales,2035.0,,Chargefox,-33.95030735,151.2384284,4,7,3,22,42,20
944,"Robinsons Ln, Tenterfield, 2372","Robinsons Lane, Tenterfield NSW 2372",Robinsons Lane Tenterfield New South Wales 2372,Robinsons Lane,Tenterfield,New South Wales,2372.0,,Tesla,-29.00038643,152.023976,4,7,3,31,47,16
844,"Darling Dr, Sydney, 2000","Darling Drive, Sydney NSW 2000",Darling Drive Sydney New South Wales 2000,Darling Drive,Sydney,New South Wales,2000.0,,NRMA,-33.8751502,151.1995636,4,7,3,24,41,17
845,"Darling Dr, Sydney, 2000","Darling Drive, Sydney NSW 2000",Moriarty Walk Sydney New South Wales 2000,Moriarty Walk,Sydney,New South Wales,2000.0,,NRMA,-33.8767518,151.20002,4,7,3,24,41,17
945,"Rogan Ln, Young, 2594","Rogan Lane, Young NSW 2594",Rogan Lane Young New South Wales 2594,Rogan Lane,Young,New South Wales,2594.0,,NRMA,-34.31177382,148.2950991,4,7,3,21,37,16
947,"Ross St, Goulburn, 2580","Ross Street, Goulburn NSW 2580",Ross Street Bradfordville New South Wales 2580,Ross Street,Bradfordville,New South Wales,2580.0,,ChargePoint,-34.7302573,149.7424975,4,7,3,23,46,23
953,"Short St, Mudgee, 2850","Short Street, Mudgee NSW 2850",Short Street Mudgee New South Wales 2850,Short Street,Mudgee,New South Wales,2850.0,,NRMA,-32.58960965,149.5857578,4,7,3,22,40,18
951,"Shire St, West Wyalong, 2671","Shire Street, West Wyalong NSW 2671",Shire Lane West Wyalong New South Wales 2671,Shire Lane,West Wyalong,New South Wales,2671.0,,NRMA,-33.92382187,147.2033794,5,8,3,28,44,16
827,"Church St, Sydney, 2024","Church Street, Sydney NSW 2024",Church Street Waverley New South Wales 2024,Church Street,Waverley,New South Wales,2024.0,,EVX,-33.89814219,151.2537778,4,7,3,23,43,20
851,"Eskbank St, Lithgow, 2790","Eskbank Street, Lithgow NSW 2790",Eskbank Street Cooerwull New South Wales 2790,Eskbank Street,Cooerwull,New South Wales,2790.0,,NRMA,-33.48123828,150.1588018,4,7,3,25,45,20
