OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,augmentation_match_status,augmentation_match_method,augmentation_match_confidence,augmentation_manual_review,augmentation_reference_row,augmentation_match_distance_m,augmentation_nearest_distance_m,augmentation_nearest_gap_m,external_source,external_station_id,external_station_name,external_station_address,external_operator,external_plug_types,external_number_of_plugs,external_charger_capacity,external_opening_hours,external_latitude,external_longitude,augmentation_review_reason
,,"1 Kiaora Ln, Sydney, 2028",Chargefox,2,AC,22 kW,-33.87823128,151.2448659,Woollahra Municipal Council,2028,Existing Destination Chargers,review,coordinate_candidate,0.5,True,147.0,81.53942413044902,81.53942413044902,83.71350567372426,Peclet local snapshot (experimental),DC684,Kiaora Place Shopping Centre - Level 1 charger,"1 Kiaora Road, Double Bay, NSW, 2028",Chargefox,Type 2,2.0,22 kW,"6am-11pm, 7 days Upper level closes at 11pm",-33.878071,151.244004,nearest=81.539m; gap=83.714m; manual confirmation required
,,"1 Laman St, Newcastle, 2300",Chargefox,2,AC,22 kW,-32.92913118,151.772021,Newcastle City Council,2300,Existing Destination Chargers,accepted,coordinate_near_clear,0.9,False,1306.0,3.7422688668980033,3.7422688668980033,373.3438386192157,Peclet local snapshot (experimental),DC274,Laman St Parking charger,"25 Laman St, Cooks Hill NSW 2300, Australia",Chargefox,Type 2,2.0,22 kW,Open 24/7,-32.929146,151.772057,
,,"1 Little Walker St, Casino, NSW 2470, Australia",NRMA,4,DC,50 kW,-35.442745,149.7913305,Richmond Valley Council,2622,TfNSW Regional,accepted,coordinate_exact,1.0,False,409.0,0.0,0.0,5.336283428356793,Peclet local snapshot (experimental),AK871,Little Walker St Casino charger,"1 Little Walker St, Casino, NSW 2470, Australia",NRMA,,4.0,50 kW,,-35.442745,149.7913305,
,,"1 Littlebourne St, Bathurst, 2795",Exploren,2,AC,22 kW,-33.41997202,149.6143994,Bathurst Regional Council,2795,Existing Destination Chargers,review,coordinate_candidate,0.5,True,114.0,1178.5044666572576,1178.5044666572576,28.483901448366396,Peclet local snapshot (experimental),DC486,NRMA Bathurst Panorama Holiday Park charger,"250 Sydney Rd, Bathurst, NSW 2795",Chargefox,J-1772,2.0,22 kW,,-33.41853844,149.6269807,nearest=1178.504m; gap=28.484m; manual confirmation required
,,"1 Magenta Dr, Central Coast, 2261",Tesla,1,AC,6 kW,-33.31093998,151.5228138,Central Coast Council,2261,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,1280.0,41.20264163499402,41.20264163499402,5148.044461992278,Peclet local snapshot (experimental),DC150,Pullman Magenta Shores Resort charger,1 1 Magenta Drive Magenta New South Wales NSW 2261,Tesla Destination,Tesla,1.0,11 kW,,-33.310777,151.523212,
,,"1 Martin Pl, Sydney, 2000",Everty,3,AC,22 kW,-33.86784589,151.2077858,"Sydney, Council of the City of",2000,Existing Destination Chargers,accepted,coordinate_near_clear,0.9,False,980.0,0.12348853805956457,0.12348853805956457,187.30658464920978,Peclet local snapshot (experimental),DC689,Secure Parking No 1 Martin Place Carpark charger,"165 Pitt St, Sydney NSW 2000",Everty,Type 2,4.0,22 kW,Open 24/7,-33.867845,151.207785,
,,"1 Matong St, Dareton, 2717",Chargestar,1,AC,22 kW,-34.09419724,142.0396877,Wentworth Shire Council,2717,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,1820.0,10.820175053413855,10.820175053413855,11107.014221317146,Peclet local snapshot (experimental),DC940,Coomealla Memorial Sporting Club and Motel charger,"1 Matong St, Dareton NSW 2717, Australia",,Tesla; Type 2,2.0,kW,Open 24/7,-34.094238,142.039581,
,,"1 Molly Morgan Dr, Maitland, 2323",Chargefox,2,AC,6 kW,-32.76249354,151.5895816,Maitland City Council,2323,Existing Destination Chargers,review,ambiguous_exact_address,0.5,True,474.0,21.51975663049557,21.51975663049557,16.584920003686598,Peclet local snapshot (experimental),DC306,Stockland Green Hills (1) charger,"1 Molly Morgan Dr, East Maitland NSW 2323, Australia",Tesla Destination,Tesla; Type 2,3.0,22 kW,,-32.76244408,151.5898041,nearest=21.520m; gap=16.585m; manual confirmation required
,,"1 Molly Morgan Dr, Maitland, 2323",Tesla,2,AC,22 kW,-32.76258363,151.5903554,Maitland City Council,2323,Existing Destination Chargers,review,ambiguous_exact_address,0.5,True,902.0,35.76135031258495,35.76135031258495,18.073400547895126,Peclet local snapshot (experimental),DC307,Stockland Greenhills (2) charger,"1 Molly Morgan Dr, East Maitland NSW 2323, Australia",Chargefox,Type 2,2.0,7 kW,,-32.76249116,151.5899891,nearest=35.761m; gap=18.073m; manual confirmation required
,,"1 Pambula Beach Rd, Pambula Beach, 2549",Tesla,1,AC,22 kW,-36.94024329,149.9072653,Bega Valley Shire Council,2549,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,202.0,5.024759064244224,5.024759064244224,2121.990923489376,Peclet local snapshot (experimental),DC936,Discovery Parks Pambula Beach charger,"1 Pambula Beach Rd, Pambula Beach NSW 2549, Australia",Tesla Destination,Tesla,1.0,22 kW,,-36.940225,149.907317,
,,"1 Park St, Sydney, 2103",JOLT,2,DC,25 kW,-33.67613618,151.3039429,Northern Beaches Council,2103,Existing Fast Chargers,accepted,address_exact_unique,0.97,False,1083.0,13.666599698824866,13.666599698824866,63.313709547186875,Peclet local snapshot (experimental),FC191,Mona Vale Library Car Park charger,"1 Park St, Mona Vale NSW 2103, Australia",JOLT,Tesla; Type 2,2.0,25 kW,Open 24/7,-33.67606,151.303827,
,,"1 Perry St, Batemans Bay, 2536",Evie,4,DC,75 kW,-35.70737242,150.1761672,Eurobodalla Shire Council,2536,Existing Fast Chargers,accepted,address_exact_unique,0.97,False,657.0,45.68227005121397,45.68227005121397,99.20082162822823,Peclet local snapshot (experimental),FC69,Village Centre Batemans Bay charger,"1 Perry St, Batemans Bay NSW 2536, Australia",Evie Networks,Type 2,4.0,75 kW,Open 24/7,-35.706983,150.176006,
,,"1 Plunkett St, Sydney, 2065",Exploren,2,DC,50 kW,-33.8215586,151.1964124,Willoughby City Council,2065,Existing Fast Chargers,review,coordinate_candidate,0.5,True,166.0,30.267416765516547,30.267416765516547,210.51745542325753,Peclet local snapshot (experimental),DC770,Plunkett Street Parking charger,"32 Chandos St, St Leonards NSW 2065, Australia",Chargefox,Type 2,2.0,7 kW,Open 24/7,-33.821772,151.196209,nearest=30.267m; gap=210.517m; manual confirmation required
,,"1 Porter St, Byron Bay, 2481",Chargefox,11,AC,22 kW,-28.63114219,153.5822593,Byron Shire Council,2481,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,1258.0,36.22404815330834,36.22404815330834,140.66837041940326,Peclet local snapshot (experimental),DC29,Habitat Byron Bay charger,"1 Porter St, Byron Bay NSW 2481, Australia",Chargefox,Type 2,11.0,22 kW,,-28.631464,153.582317,
,,"1 Railway Pde, Sydney, 2217",Tesla,2,AC,6 kW,-33.96202107,151.1331081,Georges River Council,2217,Existing Destination Chargers,review,coordinate_candidate,0.5,True,662.0,60.902819458768974,60.902819458768974,16.43599686370264,Peclet local snapshot (experimental),FC109,Kogarah Town Centre charger,"Kogarah Town Centre, 1-9 Railway Parade, Kogarah NSW 2217, Australia",Evie Networks,Tesla; Type 2,4.0,60 - 150 kW,7:00 AM - 10:00 PM,-33.96168115,151.1325903,nearest=60.903m; gap=16.436m; manual confirmation required
,,"1 Reina Street, Sydney, 2026",Exploren,1,AC,22 kW,-33.8818579,151.2752853,Waverley Council,2026,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,963.0,0.10383660818425108,0.10383660818425108,462.17480790307803,Peclet local snapshot (experimental),DC617,1 Reina St Parking charger,"1 Reina St, North Bondi NSW 2026, Australia",Exploren,Type 2,1.0,22 kW,Open 24/7,-33.881857,151.275285,
,,"1 Rider Blvd, Sydney, 2138",Tesla,3,AC,22 kW,-33.83552757,151.0841261,"Canada Bay Council, City of",2138,Existing Destination Chargers,review,coordinate_candidate,0.5,True,556.0,118.6006318353104,118.6006318353104,156.92722899690418,Peclet local snapshot (experimental),DC669,Rhodes Waterside charger,"Level 3, 1 Rider Blvd, Rhodes NSW 2138, Australia",Chargefox,Tesla; Type 2,8.0,22 kW,Rhodes Waterside Shopping Centre,-33.835415,151.085403,nearest=118.601m; gap=156.927m; manual confirmation required
,,"1 Salisbury Rd, Sydney, 2154",Tesla,1,AC,6 kW,-33.73073778,150.9734024,The Hills Shire Council,2154,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,922.0,0.09429069935765562,0.09429069935765562,191.65771288833642,Peclet local snapshot (experimental),DC426,The Hills Lodge charger,"1 Salisbury Rd, Castle Hill NSW 2154, Australia",Tesla Destination,Tesla; Type 2,3.0,5 kW,,-33.730737,150.973402,
,,"1 Seabeach Ave, Sydney, 2103",Chargefox,2,AC,6 kW,-33.67677782,151.3098839,Northern Beaches Council,2103,Existing Destination Chargers,accepted,address_exact_unique,0.97,False,1712.0,8.180527751632345,8.180527751632345,557.9464421000457,Peclet local snapshot (experimental),DC383,Baldwin Living Seabeach Gardens charger,"1 Seabeach Ave, Mona Vale NSW 2103, Australia",Chargefox,Type 2,2.0,7 kW,,-33.676719,151.309937,
,,"1 Stanley St, Sydney, 2025",EVX,2,AC,22 kW,-33.88848053,151.2444605,Woollahra Municipal Council,2025,Existing Destination Chargers,review,coordinate_candidate,0.5,True,362.0,14.410527673334409,14.410527673334409,227.13758771260405,Peclet local snapshot (experimental),HC2289,Edgecliff Rd Woollahra charger,"251 Edgecliff Rd
Woollahra NSW 2025
Australia",EVX,,2.0,22 kW,,-33.8886,151.2444,nearest=14.411m; gap=227.138m; manual confirmation required
,,"1 Sterling Cct, Sydney, 2050",Saascharge,1,AC,22 kW,-33.88474779,151.1766086,"Sydney, Council of the City of",2050,Existing Destination Chargers,accepted,coordinate_near_clear,0.9,False,538.0,0.10384677989785764,0.10384677989785764,111.61252253331106,Peclet local snapshot (experimental),DC579,Trio Apartments Camperdown charger,"1-5 Sterling Circuit, Camperdown NSW 2050",Saascharge International GmbH,Type 2,1.0,22 kW,Open 24/7,-33.884747,151.176608,
,,"1 Sublime Point Rd, Leura, 2780",Exploren,4,AC,22 kW,-33.72087992,150.3514194,Blue Mountains City Council,2780,Existing Destination Chargers,review,ambiguous_exact_address,0.5,True,925.0,0.10878307142498914,0.10878307142498914,165.9793671040182,Peclet local snapshot (experimental),DC432,Fairmont Resort Blue Mountains by MGallery (2) charger,"1 Sublime Point Rd, Leura NSW 2780, Australia, Leura 2780",Exploren,Type 2,2.0,7 kW,Open 24/7,-33.720879,150.351419,nearest=0.109m; gap=165.979m; manual confirmation required
