OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,augmentation_match_status,augmentation_match_method,augmentation_match_confidence,augmentation_manual_review,augmentation_reference_row,augmentation_match_distance_m,augmentation_nearest_distance_m,augmentation_nearest_gap_m,external_source,external_station_id,external_station_name,external_station_address,external_operator,external_plug_types,external_number_of_plugs,external_charger_capacity,external_opening_hours,external_latitude,external_longitude,augmentation_review_reason
,,"Castlereagh Rd, Sydney, 2750",Ampol,2,DC,150 kW,-33.74298103,150.69296,Penrith City Council,2750,Existing Fast Chargers,review,coordinate_candidate,0.5,True,1843.0,1.3252517172087626,1.3252517172087626,19.554865095721926,Peclet local snapshot (experimental),FC42,Ampol Foodary Penrith charger,"153 Coreen Ave, Penrith NSW 2750, Australia",AmpCharge,Tesla; Type 2,2.0,150 kW,Open 24/7,-33.74299278,150.6929624,nearest=1.325m; gap=19.555m; manual confirmation required
,,"Central Ave 2, Sydney, 2015",Ampol,6,DC,150 kW,-33.89561066,151.1961411,"Sydney, Council of the City of",2015,Existing Fast Chargers,review,coordinate_candidate,0.5,True,1787.0,24.035891387230507,24.035891387230507,3.614340227357939,Peclet local snapshot (experimental),DC760,Commbank Foundry Carpark charger,"Shop 17/2 Central Ave, Eveleigh NSW 2015, Australia",,Type 2,6.0,kW,,-33.895749,151.195941,nearest=24.036m; gap=3.614m; manual confirmation required
,,"Church St, Glen Innes, 2370",EVUp,1,AC,22 kW,-29.73817122,151.7375185,Glen Innes Severn Council,2370,Existing Destination Chargers,review,coordinate_candidate,0.5,True,1644.0,10.781038871294644,10.781038871294644,110.51314178328877,Peclet local snapshot (experimental),DC59,Glen Innes Visitor Information Centre charger,"152 Church St, Glen Innes NSW 2370, Australia","Tesla Destination, EVUp",Tesla; Type 2,3.0,22 kW,Open 24/7,-29.738166,151.73763,nearest=10.781m; gap=110.513m; manual confirmation required
,,"Church St, Sydney, 2024",EVX,2,AC,22 kW,-33.89814219,151.2537778,Waverley Council,2024,Existing Destination Chargers,review,coordinate_candidate,0.5,True,2012.0,88.00458857186538,88.00458857186538,161.8162000047906,Peclet local snapshot (experimental),HC2173,Carrington Road Waverley charger,"29 Carrington Road
Waverley NSW 2024
Australia",EVX,,2.0,22 kW,,-33.8986,151.253,nearest=88.005m; gap=161.816m; manual confirmation required
,,"Civic Dr, Sydney, 2099",ChargePoint,2,AC,6 kW,-33.75034339,151.2866637,Northern Beaches Council,2099,Existing Destination Chargers,review,coordinate_candidate,0.5,True,1347.0,0.07790430469147787,0.07790430469147787,10.110235046398216,Peclet local snapshot (experimental),DC469,PCYC Car Park (1) charger,"40 Kingsway, Dee Why NSW 2099, Australia",ChargePoint,J-1772,2.0,6.6 kW,Mon - Sat 5:30AM - 12:30AM Sun & public holidays 6:30AM - 12:30AM,-33.750343,151.286663,nearest=0.078m; gap=10.110m; manual confirmation required
,,"Cnr Beggs Road & Rooty Hill Road, Sydney, 2766",Chargefox,4,AC,6 kW,-33.7847568,150.8531011,Blacktown City Council,2766,Existing Destination Chargers,review,coordinate_candidate,0.5,True,1334.0,12.144697441401178,12.144697441401178,327.2175832161437,Peclet local snapshot (experimental),DC414,Eastern Creek Quarter charger,"159 Rooty Hill Rd S, Eastern Creek NSW 2766",Chargefox,Type 2,4.0,7 kW,Open 24/7,-33.784847,150.853027,nearest=12.145m; gap=327.218m; manual confirmation required
,,"Cnr Compton Drive & Cedar Cres, Ballina, 2478",Tesla,2,AC,22 kW,-28.86860365,153.5889309,Ballina Shire Council,2478,Existing Destination Chargers,review,coordinate_candidate,0.5,True,1649.0,51.09525443135812,51.09525443135812,2262.8247451824905,Peclet local snapshot (experimental),DC74,Ballina Beach Resort charger,"1 Foster St, East Ballina NSW 2478, Australia",Tesla Destination,Tesla,2.0,22 kW,,-28.868145,153.588963,nearest=51.095m; gap=2262.825m; manual confirmation required
,,"Cnr Dunheved Rd & Henry Lawson Dr, Werrington, NSW, 2747",Ampol,2,DC,125 kW,-33.7463077,150.7413197,Penrith City Council,2747,ARENA - Driving the Nation,accepted,coordinate_near_clear,0.9,False,1939.0,2.0126464054637667,2.0126464054637667,59.15041357878623,Peclet local snapshot (experimental),HC2658,Werrington charger,"Cnr Dunheved Rd & Henry Lawson Dr, Werrington, NSW, 2747",Ampol,,2.0,125 kW,,-33.7463,150.7413,
,,"Cnr Elara Bvd &, Northbourne Dr, Sydney, 2765",Evie,4,DC,150 kW,-33.69514919,150.8213664,Blacktown City Council,2765,Existing Fast Chargers,review,coordinate_candidate,0.5,True,102.0,3118.9805415965243,3118.9805415965243,32.301968531994135,Peclet local snapshot (experimental),DC408,Sydney Business Park charger,15 Hollinsworth Road Marsden Park,CasaCharge,Type 2,2.0,kW,Open 24/7,-33.71904637,150.8390215,nearest=3118.981m; gap=32.302m; manual confirmation required
,,"Cnr Herring & Waterloo Rd, North Ryde NSW 2113",Evie,4,DC,50 kW,-33.776893,151.122247,"Ryde, Council of the City of",2113,ARENA - Driving the Nation,accepted,coordinate_exact,1.0,False,661.0,0.0,0.0,4.41321390590834,Peclet local snapshot (experimental),FC104,Macquarie Centre (2) charger,"105Ã107 Waterloo Rd, Macquarie Park NSW 2113, Australia",Evie Networks,Tesla; Type 2,4.0,50 kW,Open 24/7,-33.776893,151.122247,
,,"Cnr Herring Rd & Waterloo Rd, Sydney, 2113",Tesla,20,DC,130 kW,-33.77721726,151.1208809,"Ryde, Council of the City of",2113,Existing Fast Chargers,review,coordinate_candidate,0.5,True,1727.0,119.53502598024336,119.53502598024336,7.38541281210901,Peclet local snapshot (experimental),DC463,Macquarie Centre (1) charger,"63-71 Talavera Rd, Macquarie Park, New South Wales 2113, Australia",ChargePoint,J-1772,2.0,6.6 kW,"Mon - Wed 9AM - 5:30PM, Thu 9AM - 9PM, Fri 9AM - 5:30PM, Sat 9AM - 5PM, Sun
10AM - 4PM",-33.776716,151.122025,nearest=119.535m; gap=7.385m; manual confirmation required
,,"Cnr Miller & Amherst St, Cammeray NSW 2062",Evie,4,DC,75 kW,-33.82301829,151.2093468,North Sydney Council,2062,ARENA - Driving the Nation,accepted,coordinate_near_clear,0.9,False,779.0,4.777693604501035,4.777693604501035,21.577647932309567,Peclet local snapshot (experimental),HC2623,Cammeray charger,"Cnr Miller & Amherst St, Cammeray NSW 2062",Evie,,4.0,75 kW,,-33.823,151.2093,
,,"Cnr Trafalgar St & Pembroke St, Sydney, 2024",Chargefox,2,DC,50 kW,-33.90722527,151.2647708,Waverley Council,2024,Existing Fast Chargers,review,coordinate_candidate,0.5,True,133.0,13.800765677249114,13.800765677249114,53.55234792491571,Peclet local snapshot (experimental),DC591,Bronte â€“ Trafalgar St Parking charger,"Cnr Trafalgar St & Pembroke St, Bronte, NSW, 2024",Chargefox,Type 2,2.0,22 kW,Open 24/7,-33.90711681,151.2648435,nearest=13.801m; gap=53.552m; manual confirmation required
,,"Commercial St, Walla Walla, 2659",NRMA,1,AC,22 kW,-35.76493698,146.901041,Greater Hume Shire Council,2659,Existing Destination Chargers,accepted,coordinate_near_clear,0.9,False,1044.0,0.1056351803616626,0.1056351803616626,29310.019658470024,Peclet local snapshot (experimental),DC1006,Lieschke Motors Walla Walla charger,"63 Commercial St, Walla Walla NSW 2659, Australia",NRMA,Type 2,1.0,kW,,-35.76493603,146.901041,
,,"Corner of Snowy River Avenue and Kalkite St, Jindabyne, 2627",NRMA,4,DC,50 kW,-36.415952,148.6198038,Snowy Monaro Regional Council,2627,Existing Fast Chargers,accepted,coordinate_near_clear,0.9,False,236.0,0.07158538645994417,0.07158538645994417,250.9540895238829,Peclet local snapshot (experimental),FC126,Snowy River Ave Car Park charger,"Corner of Snowy River Avenue and, Kalkite St, Jindabyne NSW 2627",NRMA,Tesla; Type 2,4.0,50 kW,Open 24/7,-36.415952,148.619803,
,,"Cowper Street, Warrawong, NSW 2502",EVUp,2,AC,22 kW,-34.4861592,150.8879279,Wollongong City Council,NSW 2502,Existing Destination Chargers,accepted,coordinate_near_clear,0.9,False,1808.0,0.08543372455798405,0.08543372455798405,2574.5520935344684,Peclet local snapshot (experimental),DC867,The Place @ Warrawong Plaza charger,"Warrawong Plaza, 61 King Street, Warrawong NSW 2502, Australia",,Type 2,2.0,kW,Open 24/7,-34.486159,150.887927,
,,"Cronulla Railway Station, Tonkin Street, Cronulla, New South Wales 2230, Australia",JOLT,1,DC,25 kW,-34.05771,151.151975,Sutherland Shire Council,2230,TfNSW Commuter Car Parks,accepted,coordinate_near_clear,0.9,False,251.0,1.7077719436187289,1.7077719436187289,1174.7911303898065,Peclet local snapshot (experimental),FC205,Cronulla Station Parking charger,"2A Cronulla St, Cronulla NSW 2230, Australia",JOLT,Tesla; Type 2,2.0,25 kW,Open 24/7,-34.05770708,151.1519568,
,,"Cypress Dr, Pokolbin, 2320",Tesla,2,AC,6 kW,-32.78510015,151.2896006,Cessnock City Council,2320,Existing Destination Chargers,review,coordinate_candidate,0.5,True,884.0,6.140467943220064,6.140467943220064,1009.257513062342,Peclet local snapshot (experimental),DC215,Cypress Lakes Resort Golf & Country Club charger,"Vintage Avenue, Pokolbin NSW 2320, Australia",Tesla Destination,Tesla,2.0,7 kW,Open 24/7,-32.785063,151.289552,nearest=6.140m; gap=1009.258m; manual confirmation required
,,"Dalton St, Parkes, 2870",NRMA,2,DC,75 kW,-33.13720725,148.1726176,Parkes Shire Council,2870,Existing Fast Chargers,accepted,coordinate_near_clear,0.9,False,1857.0,1.1929480160337071,1.1929480160337071,117.98403732280899,Peclet local snapshot (experimental),FC137,Parkes Swimming Pool charger,"27 Dalton St, Parkes NSW 2870, Australia",NRMA,Tesla; Type 2,2.0,50 kW,Open 24/7,-33.1372177,148.1726205,
,,"Darling Cswy, Mount Victoria, 2786",Non-networked,2,AC,22 kW,-33.58671976,150.2568799,Blue Mountains City Council,2786,Existing Destination Chargers,review,coordinate_candidate,0.5,True,398.0,331.69073229977056,331.69073229977056,517.1246440299396,Peclet local snapshot (experimental),HC2542,Montgomery St Mount Victoria charger,"11 Montgomery St
Mount Victoria NSW 2786
Australia",EVNet,,2.0,AC,,-33.5886,150.2541,nearest=331.691m; gap=517.125m; manual confirmation required
,,"Darling Dr, Sydney, 2000",NRMA,20,AC,22 kW,-33.8751502,151.1995636,"Sydney, Council of the City of",2000,Existing Destination Chargers,accepted,coordinate_near_clear,0.9,False,1391.0,0.05968960577840144,0.05968960577840144,182.80589674838106,Peclet local snapshot (experimental),DC702,ICC Sydney Exhibition Centre Car Park (Car Park 1) charger,"14 Darling Dr, Sydney NSW 2000, Australia",NRMA,Type 2,20.0,kW,Open 24/7,-33.87515,151.199563,
,,"Darling Dr, Sydney, 2000",NRMA,5,AC,22 kW,-33.8767518,151.20002,"Sydney, Council of the City of",2000,Existing Destination Chargers,accepted,coordinate_near_clear,0.9,False,563.0,0.14455340474701658,0.14455340474701658,182.896100947712,Peclet local snapshot (experimental),DC703,ICC Sydney Theatre Car Park (Car Park 2) charger,"14 Darling Dr, Haymarket NSW 2000, Australia",NRMA,Type 2,5.0,kW,Open 24/7,-33.8767505,151.20002,
,,"Darwin St, Cessnock, 2325",Everty,3,AC,6 kW,-32.83657562,151.3539109,Cessnock City Council,2325,Existing Destination Chargers,review,coordinate_candidate,0.5,True,1670.0,183.74668921693706,183.74668921693706,11.119835146818417,Peclet local snapshot (experimental),DC166,Wine Country Motor Inn charger,"5 Darwin Street, Cessnock NSW 2325",Everty,Type 2,4.0,kW,Open 24/7,-32.8349969,151.3533299,nearest=183.747m; gap=11.120m; manual confirmation required
,,"Date St, Newcastle, 2289",Chargefox,2,AC,22 kW,-32.93447852,151.7247487,Newcastle City Council,2289,Existing Destination Chargers,review,coordinate_candidate,0.5,True,1207.0,416.24458615662525,416.24458615662525,1358.6660168890198,Peclet local snapshot (experimental),HC2591,Brunker Rd Adamstown charger,"165 Brunker Rd
Adamstown NSW 2289
Australia",Noodoe,,3.0,AC,,-32.9316,151.7276,nearest=416.245m; gap=1358.666m; manual confirmation required
,,"Don Kendell Dr, Forest Hill, 2651",Tesla,1,AC,22 kW,-35.15820325,147.4594585,Wagga Wagga City Council,2651,Existing Destination Chargers,accepted,coordinate_near_clear,0.9,False,1032.0,0.053281193818705525,0.053281193818705525,4995.5166299847415,Peclet local snapshot (experimental),DC963,Valet Park and Fly Wagga Airport charger,"Don Kendall Dr, Wagga Wagga, , Australia, NSW 2651",Tesla Destination,Tesla,1.0,22 kW,,-35.158203,147.459458,
,,"Dorhauer Ln, Sydney, 2025",Evie,2,DC,75 kW,-33.88851356,151.2376316,Woollahra Municipal Council,2025,Existing Fast Chargers,review,coordinate_candidate,0.5,True,228.0,6.155388164116295,6.155388164116295,232.43161756051788,Peclet local snapshot (experimental),FC93,Queen Street Carpark (Dorhauer Lane) charger,"Dorhauer Lane, Woollahra Sydney, NSW 2025, Australia",Evie Networks,Type 2,2.0,75 kW,,-33.88847211,151.2375874,nearest=6.155m; gap=232.432m; manual confirmation required
,,"Eric Felton St, Sydney, 2154",Tesla,3,AC,22 kW,-33.72919824,151.0068078,The Hills Shire Council,2154,Existing Destination Chargers,review,coordinate_candidate,0.5,True,1711.0,64.55764241690794,64.55764241690794,2175.088452085704,Peclet local snapshot (experimental),DC374,Castle Towers Shopping Centre charger,"6 - 14 Castle St, Castle Hill, NSW, Australia, NSW 2154",Tesla Destination,Type 2,3.0,22 kW,Open 24/7,-33.729722,151.007109,nearest=64.558m; gap=2175.088m; manual confirmation required
,,"Eskbank St, Lithgow, 2790",NRMA,4,DC,180 kW,-33.48123828,150.1588018,"Lithgow Council, City of",2790,Existing Fast Chargers,review,coordinate_candidate,0.5,True,672.0,419.0033243915115,419.0033243915115,356.8212334937743,Peclet local snapshot (experimental),FC156,Lithgow Workies Club charger,"3-7 Tank St, Lithgow NSW 2790, Australia",NRMA,Tesla; Type 2,4.0,50 kW,Open 24/7,-33.478006,150.161124,nearest=419.003m; gap=356.821m; manual confirmation required
,,"f 419 Hinterland Wy, Knockrow , 2479",Tesla,12,DC,130 kW,-28.74953958,153.5347227,Ballina Shire Council,2479,Existing Fast Chargers,accepted,address_exact_unique,0.97,False,692.0,0.09389499670123733,0.09389499670123733,48.58397354908042,Peclet local snapshot (experimental),FC241,Macadamia Castle charger,"419 Hinterland Way, Knockrow NSW 2479, Australia",Tesla Supercharge,Type 2; J-1772,12.0,120 kW,Open 24/7,-28.749539,153.534722,
,,"Ferguson Cres, Mittagong, 2575",Porsche Smart Mobility,1,AC,11 kW,-34.44740445,150.4612402,Wingecarribee Shire Council,2575,Existing Destination Chargers,review,coordinate_candidate,0.5,True,187.0,43.4943583325391,43.4943583325391,410.5369477652704,Peclet local snapshot (experimental),DC849,The Fitzroy Inn charger,"1 Ferguson Cres, Mittagong NSW 2575, Australia",Tesla Destination,Tesla; Type 2,2.0,22 kW,,-34.447058,150.46102,nearest=43.494m; gap=410.537m; manual confirmation required
,,"First Ave, Gundagai, 2722",Porsche Smart Mobility,2,AC,11 kW,-35.06456061,148.1075155,Cootamundra-gundagai Regional Council,2722,Existing Destination Chargers,review,coordinate_candidate,0.5,True,611.0,6.137978857695596,6.137978857695596,620.4978986475139,Peclet local snapshot (experimental),DC910,Flash Jacks of Gundagai charger,"14 Homer Street, Gundagai NSW 2722, Australia",,Type 2,2.0,4 kW,Open 24/7,-35.064585,148.107576,nearest=6.138m; gap=620.498m; manual confirmation required
,,"Franklin St, Sydney, 2036",Evie,2,DC,75 kW,-33.96116721,151.2488509,Randwick City Council,2036,Existing Fast Chargers,review,coordinate_candidate,0.5,True,1914.0,315.35406438106077,315.35406438106077,569.5906589269846,Peclet local snapshot (experimental),HC2024,Anzac Pde Matraville charger,"1215 Anzac Pde, Matraville, NSW, 2036",Evie Networks,,4.0,75 kW,,-33.9626,151.2459,nearest=315.354m; gap=569.591m; manual confirmation required
,,"Gallagher St, Byron Bay, 2481",Chargefox,2,AC,22 kW,-28.63008013,153.5810821,Byron Shire Council,2481,Existing Destination Chargers,review,coordinate_candidate,0.5,True,429.0,12.558141113990995,12.558141113990995,182.90290121568637,Peclet local snapshot (experimental),DC35,The Habitat Bryon charger,"9 Easy St, Byron Bay NSW 2481, Australia",NRMA,Type 2,2.0,kW,,-28.63002331,153.5809709,nearest=12.558m; gap=182.903m; manual confirmation required
,,"Gardeners Rd, Sydney, 2020",JOLT,2,DC,25 kW,-33.92049354,151.1907497,"Sydney, Council of the City of",2020,Existing Fast Chargers,review,coordinate_candidate,0.5,True,1476.0,61.05813949681531,61.05813949681531,290.4406804256145,Peclet local snapshot (experimental),FC192,JOLT Gardeners Road charger,"904 Gardeners Rd, Mascot NSW 2020, Australia",JOLT,Tesla; Type 2,4.0,25 kW,6am to 2am.,-33.9206552,151.1913821,nearest=61.058m; gap=290.441m; manual confirmation required
,,"Gardeners Rd, Sydney, 2020",JOLT,2,DC,25 kW,-33.92059364,151.1914745,"Sydney, Council of the City of",2020,Existing Fast Chargers,review,coordinate_candidate,0.5,True,1476.0,10.933704291974932,10.933704291974932,272.9160401929198,Peclet local snapshot (experimental),FC192,JOLT Gardeners Road charger,"904 Gardeners Rd, Mascot NSW 2020, Australia",JOLT,Tesla; Type 2,4.0,25 kW,6am to 2am.,-33.9206552,151.1913821,nearest=10.934m; gap=272.916m; manual confirmation required
,,"Gasworks Ln, Molong, 2866",NRMA,1,AC,22 kW,-33.09089894,148.8704144,Cabonne Council,2866,Existing Destination Chargers,review,coordinate_candidate,0.5,True,2002.0,42.76171807500054,42.76171807500054,22503.915529489434,Peclet local snapshot (experimental),HC2019,Gasworks Ln Molong charger,"Gasworks Ln, Molong, NSW, 2866, Australia",NRMA,,4.0,DC,,-33.0912,148.8707,nearest=42.762m; gap=22503.916m; manual confirmation required
,,"Gipps St, Bega, 2550",NRMA,2,DC,50 kW,-36.67324729,149.843047,Bega Valley Shire Council,2550,Existing Fast Chargers,review,coordinate_candidate,0.5,True,666.0,49.294268995157424,49.294268995157424,641.9205767916303,Peclet local snapshot (experimental),FC124,Church St Car Park charger,"81 Gipps St, Bega NSW 2550, Australia",NRMA,Tesla; Type 2,2.0,50 kW,Open 24/7,-36.672876,149.843349,nearest=49.294m; gap=641.921m; manual confirmation required
,,"Goobarabah Ave, Central Coast, 2263",Chargefox,2,AC,22 kW,-33.24040245,151.5038719,Central Coast Council,2263,Existing Destination Chargers,review,coordinate_candidate,0.5,True,457.0,25.66159822892463,25.66159822892463,32.94625990226403,Peclet local snapshot (experimental),DC174,Lake Haven Shopping Centre charger,"Cnr Lake Haven Dr, Lake Haven NSW 2263, Australia",Chargefox,Type 2,2.0,22 kW,,-33.24019102,151.5037613,nearest=25.662m; gap=32.946m; manual confirmation required
,,"Grandview Lane, Bowen Mountain, 2753",Porsche Destination Charging,1,AC,11 kW,-33.58239244,150.6335656,Hawkesbury City Council,2753,Existing Destination Chargers,review,coordinate_candidate,0.5,True,87.0,24.576230950971475,24.576230950971475,14154.704602923028,Peclet local snapshot (experimental),DC329,Spicers Sangoma Retreat charger,"70 Grandview Ln, Bowen Mountain NSW 2753, Australia",,Type 2,1.0,11 kW,,-33.582561,150.633394,nearest=24.576m; gap=14154.705m; manual confirmation required
,,"Grenache Way, Murrumbateman, 2582",Porsche Smart Mobility,1,AC,11 kW,-34.97787592,149.0084344,Yass Valley Council,2582,Existing Destination Chargers,review,coordinate_candidate,0.5,True,1423.0,27.636424420603092,27.636424420603092,2153.5766146667343,Peclet local snapshot (experimental),DC905,Shaw Wines charger,"34 Isabel Dr, Murrumbateman NSW 2582, Australia",,Type 2,4.0,kW,,-34.97789315,149.0081318,nearest=27.636m; gap=2153.577m; manual confirmation required
,,"Griffith St, Tweed Heads, 2485",Chargefox,2,AC,22 kW,-28.16872577,153.5430551,Tweed Shire Council,2485,Existing Destination Chargers,review,coordinate_candidate,0.5,True,1643.0,1.7361817807966193,1.7361817807966193,4.506603717521849,Peclet local snapshot (experimental),DC41,The Sebel Twin Towns Coolangatta charger,"Corner Of Griffith And, Stuart St, Coolangatta QLD 4225, Australia",Chargefox,Type 2,2.0,22 kW,,-28.16872752,153.5430727,nearest=1.736m; gap=4.507m; manual confirmation required
,,"Halls Rd, Pokolbin, 2320",Porsche Smart Mobility,2,AC,11 kW,-32.77742747,151.3148879,Cessnock City Council,2320,Existing Destination Chargers,review,coordinate_candidate,0.5,True,458.0,78.56155158641378,78.56155158641378,264.3318697627072,Peclet local snapshot (experimental),DC191,Spicers Tower Lodge charger,"6 Halls Rd, Pokolbin NSW 2320, Australia",,Type 2,2.0,kW,,-32.776737,151.315066,nearest=78.562m; gap=264.332m; manual confirmation required
,,"Harbour Boulevard, Shell Cove, 2529",Chargefox,2,DC,350 kW,-34.58859964,150.8661131,Shellharbour City Council,2529,Existing Fast Chargers,accepted,coordinate_near_clear,0.9,False,1835.0,0.08989518075738467,0.08989518075738467,3585.516916188079,Peclet local snapshot (experimental),FC11,NRMA - Shell Cove charger,"Harbour Boulevard, Shell Cove, 2529",Chargefox,Tesla; Type 2,4.0,350kW,Open 24/7,-34.588599,150.8661125,
,,"Hassall St, Sydney, 2142",BP,4,DC,150 kW,-33.81961366,151.0213463,"Parramatta, Council of the City of",2142,Existing Fast Chargers,review,coordinate_candidate,0.5,True,1448.0,11.969830312048003,11.969830312048003,434.938977910228,Peclet local snapshot (experimental),FC52,BP Rosehill charger,"113 Hassall St, Rosehill NSW 2142, Australia",bp pulse,Type 2,2.0,75 kW,Open 24/7,-33.81967545,151.0212402,nearest=11.970m; gap=434.939m; manual confirmation required
,,"Hassall Street & James Rouse Drive, Sydney, 2142",BP,4,DC,150 kW,-33.81968873,151.0213023,"Parramatta, Council of the City of",2142,Existing Fast Chargers,review,coordinate_candidate,0.5,True,1448.0,5.923799743320128,5.923799743320128,444.33824740180603,Peclet local snapshot (experimental),FC52,BP Rosehill charger,"113 Hassall St, Rosehill NSW 2142, Australia",bp pulse,Type 2,2.0,75 kW,Open 24/7,-33.81967545,151.0212402,nearest=5.924m; gap=444.338m; manual confirmation required
,,"Hastings St, Wauchope, 2446",NRMA,4,DC,60 kW,-31.4561542,152.7327227,Port Macquarie-Hastings Council,2446,Existing Fast Chargers,review,coordinate_candidate,0.5,True,436.0,932.0798523681301,932.0798523681301,7575.161165534919,Peclet local snapshot (experimental),DC71,Dylko Electrical charger,"9 Stephen St, Wauchope NSW 2446, Australia",,Tesla,1.0,kW,7:00am-5:00pm,-31.453599,152.723364,nearest=932.080m; gap=7575.161m; manual confirmation required
,,"Havenview Rd, Central Coast, 2260",EVUp,2,AC,23 kW,-33.44133738,151.4392553,Central Coast Council,2260,Existing Destination Chargers,review,coordinate_candidate,0.5,True,1320.0,23.092402865239542,23.092402865239542,917.3216718984146,Peclet local snapshot (experimental),DC367,Terrigal Hotel charger,"176 Terrigal Drive Terrigal, New South Wales, 2260",EVUp,Type 2,2.0,kW,Open 24/7,-33.44148071,151.4394354,nearest=23.092m; gap=917.322m; manual confirmation required
,,"Headland Ave, Austinmer, 2515",EVX,2,AC,22 kW,-34.30089594,150.9396096,Wollongong City Council,2515,Existing Destination Chargers,accepted,coordinate_near_clear,0.9,False,159.0,1.6990376673798628,1.6990376673798628,2686.633053773659,Peclet local snapshot (experimental),DC737,2 Headland Ave Parking charger,"2 Headland Ave, Austinmer NSW 2515, Australia",EVX,Type 2,2.0,kW,Open 24/7,-34.30089032,150.9396268,
,,"Henderson Rd, Sydney, 2174",Chargefox,10,AC,6 kW,-33.9694585,150.8563874,Liverpool City Council,2174,Existing Destination Chargers,review,coordinate_candidate,0.5,True,525.0,22.665453183012545,22.665453183012545,273.33538031221815,Peclet local snapshot (experimental),DC531,Park&Ride - Edmondson Park (South) charger,"Cr Henderson Road and MacDonald Road, Edmondson Park NSW 2174",Chargefox,Type 2,10.0,7 kW,Open 24/7,-33.96953274,150.8566163,nearest=22.665m; gap=273.335m; manual confirmation required
,,"Herbert St, Tooleybuc, 2736",Non-networked,8,AC,22 kW,-35.02423528,143.3367067,Murray River Council,2736,Existing Destination Chargers,review,coordinate_candidate,0.5,True,1819.0,223.95685030899827,223.95685030899827,2866.437969068473,Peclet local snapshot (experimental),DC939,Tooleybuc Club Motor Inn charger,"1 Lockhart Road, Tooleybuc NSW 2736",,Type 2,8.0,22 kW,Open 24/7,-35.02229841,143.3373812,nearest=223.957m; gap=2866.438m; manual confirmation required
,,"Hermitage Rd, Pokolbin, 2320",Tesla,2,AC,17 kW,-32.7277508,151.2606126,Singleton Council,2320,Existing Destination Chargers,accepted,coordinate_near_clear,0.9,False,1308.0,0.10518193544681724,0.10518193544681724,126.26300314278564,Peclet local snapshot (experimental),DC280,Hunter Valley Resort charger,"CNR Hermitage Rd and Mistletow Ln, Mistletoe Ln, Pokolbin NSW 2320, Australia",Tesla Destination,Tesla,2.0,17 kW,Open 24/7,-32.72775,151.260612,
,,"Hermitage Road, Pokolbin, 2320",Porsche Smart Mobility,1,AC,11 kW,-32.73467072,151.2624855,Singleton Council,2320,Existing Destination Chargers,review,coordinate_candidate,0.5,True,466.0,33.57667279735665,33.57667279735665,222.10717333408607,Peclet local snapshot (experimental),DC229,Keith Tulloch Winery charger,"989 Hermitage Rd, Pokolbin NSW 2320, Australia",,Type 2,1.0,kW,,-32.734559,151.262152,nearest=33.577m; gap=222.107m; manual confirmation required
,,"Holborn Ct, Sydney, 2557",Exploren,4,DC,150 kW,-34.02030235,150.7634565,Camden Council,2557,Existing Fast Chargers,accepted,coordinate_near_clear,0.9,False,252.0,4.826930357782887,4.826930357782887,2897.880573549098,Peclet local snapshot (experimental),FC206,1 Gregory Hills Drive Parking charger,"Cnr Gregory Hills Dr & Holborn Cct, Gledswood Hills NSW, Australia",Everty,Type 2,4.0,120 kW,Open 24/7,-34.02032806,150.7634143,
,,"Horderns Rd, Bowral, 2576",Porsche Smart Mobility,1,AC,11 kW,-34.49890695,150.4816156,Wingecarribee Shire Council,2576,Existing Destination Chargers,review,coordinate_candidate,0.5,True,597.0,37.746326614675475,37.746326614675475,6028.847223585401,Peclet local snapshot (experimental),DC843,Milton Park Country House charger,"Horderns Rd, Milton Park, Australia, NSW 2575",Tesla Destination,Tesla; Type 2,2.0,8 kW,,-34.499128,150.481303,nearest=37.746m; gap=6028.847m; manual confirmation required
,,"Innovation Way, Wollongong, 2500",Chargefox,3,DC,180 kW,-34.40008513,150.8996306,Wollongong City Council,2500,Existing Fast Chargers,review,coordinate_candidate,0.5,True,176.0,1.8843545428880948,1.8843545428880948,0.0,Peclet local snapshot (experimental),DC819,Innovation Campus - SBRC Building 237 charger,"160 Innovation Way, North Wollongong NSW 2500, Australia",,Type 2,1.0,22 kW,Open 24/7,-34.40009045,150.8996111,nearest=1.884m; gap=0.000m; manual confirmation required
,,"Jean Wailes Ave, Sydney, 2138",Chargefox,3,AC,22 kW,-33.83529434,151.0844314,"Canada Bay Council, City of",2138,Existing Destination Chargers,review,coordinate_candidate,0.5,True,556.0,90.73736946854517,90.73736946854517,158.66362133531783,Peclet local snapshot (experimental),DC669,Rhodes Waterside charger,"Level 3, 1 Rider Blvd, Rhodes NSW 2138, Australia",Chargefox,Tesla; Type 2,8.0,22 kW,Rhodes Waterside Shopping Centre,-33.835415,151.085403,nearest=90.737m; gap=158.664m; manual confirmation required
,,"Jersey St, Sydney, 2077",BP,2,DC,75 kW,-33.68997402,151.1061692,"Hornsby, The Council of the Shire of",2077,Existing Fast Chargers,accepted,coordinate_near_clear,0.9,False,654.0,3.906224643328897,3.906224643328897,474.67980397243036,Peclet local snapshot (experimental),FC57,BP Asquith charger,"462 Pacific Hwy, Asquith NSW 2077, Australia",bp pulse,Type 2,2.0,75 kW,Open 24/7,-33.68999427,151.1061347,
