index,original,cleaned,enriched,street,suburb,state,postcode,station_name,operator,latitude,longitude
797,"Alford St, Currabubula, 2342","Alford Street, Currabubula NSW 2342",8 Alford Street New South Wales 2342,8 Alford Street,,New South Wales,2342,,Exploren,-31.26079584,150.7369459
798,"Alleyne St, Sydney, 2067","Alleyne Street, Sydney NSW 2067",Alleyne Street Sydney New South Wales 2067,Alleyne Street,Sydney,New South Wales,2067,,EVUp,-33.78754859,151.1983834
799,"Alpha Street, Sydney, 2148","Alpha Street, Sydney NSW 2148",Flushcombe Road Blacktown New South Wales 2148,Flushcombe Road,Blacktown,New South Wales,2148,,Exploren,-33.7714585,150.908034
800,"Anderson St, Sydney, 2067","Anderson Street, Sydney NSW 2067",370 Victoria Avenue Chatswood New South Wales 2067,370 Victoria Avenue,Chatswood,New South Wales,2067,,Exploren,-33.79641046,151.1836096
801,"Arthur St, Moss Vale, 2577","Arthur Street, Moss Vale NSW 2577",Arthur Street Moss Vale New South Wales 2577,Arthur Street,Moss Vale,New South Wales,2577,,Porsche Smart Mobility,-34.55724529,150.3719379
802,"Ascot St, Sydney, 2033","Ascot Street, Sydney NSW 2033",Randwick New South Wales 2031,,Randwick,New South Wales,2031,,Exploren,-33.90838043,151.2263453
803,"Avenue Rd, Sydney, 2088","Avenue Road, Sydney NSW 2088",40 Avenue Road Mosman New South Wales 2088,40 Avenue Road,Mosman,New South Wales,2088,,BP,-33.83197602,151.2373874
804,"B640 Princes Hwy, Berry, 2535","B640 Princes Highway, Berry NSW 2535",Princes Highway New South Wales 2535,Princes Highway,,New South Wales,2535,,Tesla,-34.80794299,150.637044
805,"B640 Princes Hwy, Jaspers Brush, 2535","B640 Princes Highway, Jaspers Brush NSW 2535",Princes Highway New South Wales 2535,Princes Highway,,New South Wales,2535,,Tesla,-34.80908213,150.6371221
806,"Banyandah St, South Durras, 2536","Banyandah Street, South Durras NSW 2536",Banyandah Street New South Wales,Banyandah Street,,New South Wales,,,Chargefox,-35.66760265,150.2992292
