OBJECTID,Station_name,Station_address,Operator,Number_of_plugs,Charger_Type,Charger_rating,Latitude,Longitude,LGANAME,PCODE,Source,SA4_NAME26,SA4_CODE26,augmentation_match_status,augmentation_match_method,augmentation_match_confidence,augmentation_manual_review,augmentation_reference_row,augmentation_match_distance_m,augmentation_nearest_distance_m,augmentation_nearest_gap_m,external_source,external_data_provider,external_station_id,external_station_name,external_station_address,external_operator,external_plug_types,external_connector_types_normalized,external_number_of_plugs,external_numeric_conflict_flags,external_number_of_plugs_quality,external_number_of_plugs_semantics,external_charger_capacity,external_power_kw_values,external_power_kw_min,external_power_kw_max,external_status,external_operational_status,external_usage_cost,external_last_verified,external_comments,external_opening_hours,external_latitude,external_longitude,external_attributes_json,augmentation_review_reason
,,"1 Perry Street, Batemans Bay NSW 2536",Evie Networks,4,DC,75 kW,-35.70737242,150.1761672,Eurobodalla Shire Council,2536,Existing Fast Chargers,Capital Region,101,review,,0.5,True,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},OCM: coordinate exceeds 100m automatic threshold; OSM: coordinate exceeds 100m automatic threshold
,,"1 Plunkett Street, Sydney NSW 2065",Exploren,2,DC,50 kW,-33.8215586,151.1964124,Willoughby City Council,2065,Existing Fast Chargers,Sydney - North Sydney and Hornsby,121,accepted,Charge@Large:coordinate_and_fuzzy_address,0.5,True,39.0,0.07626626198482477,0.07626626198482477,371.84396877660726,Charge@Large,Charge@Large,Charge@Large:15d06bf5-6b4a-425d-9312-bae4b17cc22b-1993,Willoughby City Council - Plunkett St,"Charge@Large:1 Plunkett St, New South Wales, St Leonards, NSW 2065",,CCS2,CCS,2.0,,reported_from_dc_port_count,Charge@Large DC-indicated port count,50.0,50.0,,50.0,,unknown,,,,,-33.821558,151.196412,"{""Charge@Large::charger_capacities"": 50.0, ""Charge@Large::connector_types_normalized"": ""CCS"", ""Charge@Large::data_provider"": ""Charge@Large"", ""Charge@Large::dc_port_count"": 2, ""Charge@Large::latitude"": -33.821558, ""Charge@Large::longitude"": 151.196412, ""Charge@Large::number_of_plugs"": 2, ""Charge@Large::number_of_plugs_quality"": ""reported_from_dc_port_count"", ""Charge@Large::number_of_plugs_semantics"": ""Charge@Large DC-indicated port count"", ""Charge@Large::plug_types"": ""CCS2"", ""Charge@Large::power_kw_max"": 50.0, ""Charge@Large::power_kw_values"": [50.0], ""Charge@Large::station_address"": ""1 Plunkett St, New South Wales, St Leonards, NSW 2065"", ""Charge@Large::station_name"": ""Willoughby City Council - Plunkett St"", ""Charge@Large::status_counts"": ""{\""Available\"": 2}"", ""Charge@Large::total_port_count"": 2}",OCM: coordinate exceeds 100m automatic threshold; OSM: coordinate exceeds 100m automatic threshold
,,"1 Porter Street, Byron Bay NSW 2481",Chargefox,11,AC,22 kW,-28.63114219,153.5822593,Byron Shire Council,2481,Existing Destination Chargers,Richmond - Tweed,112,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1 Railway Parade, Sydney NSW 2217",Tesla,2,AC,6 kW,-33.96202107,151.1331081,Georges River Council,2217,Existing Destination Chargers,Sydney - Inner South West,119,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1 Reina Street, Sydney NSW 2026",Exploren,1,AC,22 kW,-33.8818579,151.2752853,Waverley Council,2026,Existing Destination Chargers,Sydney - Eastern Suburbs,118,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1 Rider Boulevard, Sydney NSW 2138",Tesla,3,AC,22 kW,-33.83552757,151.0841261,"Canada Bay Council, City of",2138,Existing Destination Chargers,Sydney - Inner West,120,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1 Salisbury Road, Sydney NSW 2154",Tesla,1,AC,6 kW,-33.73073778,150.9734024,The Hills Shire Council,2154,Existing Destination Chargers,Sydney - Baulkham Hills and Hawkesbury,115,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1 Seabeach Avenue, Sydney NSW 2103",Chargefox,2,AC,6 kW,-33.67677782,151.3098839,Northern Beaches Council,2103,Existing Destination Chargers,Sydney - Northern Beaches,122,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1 Stanley Street, Sydney NSW 2025",EVX,2,AC,22 kW,-33.88848053,151.2444605,Woollahra Municipal Council,2025,Existing Destination Chargers,Sydney - Eastern Suburbs,118,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1 Sterling Circuit, Sydney NSW 2050",Saascharge,1,AC,22 kW,-33.88474779,151.1766086,"Sydney, Council of the City of",2050,Existing Destination Chargers,Sydney - City and Inner South,117,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1 Sublime Point Road, Leura NSW 2780",Exploren,4,AC,22 kW,-33.72087992,150.3514194,Blue Mountains City Council,2780,Existing Destination Chargers,Sydney - Outer West and Blue Mountains,124,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1 Wharf Street, Tweed Heads NSW 2485",Tesla,6,DC,250 kW,-28.17378983,153.5445165,Tweed Shire Council,2485,Existing Fast Chargers,Richmond - Tweed,112,unmatched,,0.0,False,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},
,,"1 Williamtown Drive, Williamtown NSW 2318",Chargefox,6,AC,22 kW,-32.80442447,151.8391211,Port Stephens Council,2318,Existing Destination Chargers,Hunter Valley exc Newcastle,106,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"1/9 Railway Parade, Kogarah NSW 2217",Evie Networks,4,DC,150 kW,-33.9624686,151.1324696,Georges River Council,2217,ARENA - Driving the Nation,Sydney - Inner South West,119,unmatched,,0.0,False,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,{},
,,"10 Brookfield Road, Minto NSW 2566",Evie Networks,4,DC,75 kW,-34.03094307,150.8490285,Campbelltown City Council,2566,ARENA - Driving the Nation,Sydney - Outer South West,123,accepted,OSM:coordinate_500m,1.0,False,52.0,5.603513344119049,5.603513344119049,,OSM,OpenStreetMap,OSM:12015862929,,,Evie Networks,CCS|CHAdeMO,CCS; CHAdeMO,,,missing_or_suspicious,OSM charge_points_count; values above 100 are withheld as suspicious,,,,,,unknown,,,,,-34.0309090568403,150.848983632126,"{""OSM::access_condition"": ""Free Access"", ""OSM::connector_types_normalized"": ""CCS;CHAdeMO"", ""OSM::data_provider"": ""OpenStreetMap"", ""OSM::latitude"": -34.0309090568403, ""OSM::longitude"": 150.848983632126, ""OSM::number_of_plugs_quality"": ""missing_or_suspicious"", ""OSM::number_of_plugs_semantics"": ""OSM charge_points_count; values above 100 are withheld as suspicious"", ""OSM::operator"": ""Evie Networks"", ""OSM::osm_last_updated"": ""2024-06-27"", ""OSM::plug_types"": ""CCS|CHAdeMO""}",
,,"10 Burkinshaw Street, Barooga NSW 3644",Exploren,2,AC,22 kW,-35.9064535,145.6867497,Berrigan Shire Council,3644,Existing Destination Chargers,Murray,109,unmatched,,0.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
